"variable","GROUP","concept","value","periode_group","time","siteid"
"D62","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D62","OTHERS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"D63","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D63","ARDS_sup_49","DIAG-ICD10",12,"all","all","FRBDX"
"D63","NO_ARDS_18_49","DIAG-ICD10",3,"all","all","FRBDX"
"D63","NO_ARDS_sup_49","DIAG-ICD10",53,"all","all","FRBDX"
"D63","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D63","OTHERS_sup_49","DIAG-ICD10",8,"all","all","FRBDX"
"D64","ARDS_18_49","DIAG-ICD10",11,"all","all","FRBDX"
"D64","ARDS_sup_49","DIAG-ICD10",111,"all","all","FRBDX"
"D64","NO_ARDS_18_49","DIAG-ICD10",12,"all","all","FRBDX"
"D64","NO_ARDS_sup_49","DIAG-ICD10",165,"all","all","FRBDX"
"D64","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D64","OTHERS_sup_49","DIAG-ICD10",43,"all","all","FRBDX"
"D65","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D65","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D65","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D65","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D68","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D68","ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"D68","NO_ARDS_18_49","DIAG-ICD10",8,"all","all","FRBDX"
"D68","NO_ARDS_sup_49","DIAG-ICD10",24,"all","all","FRBDX"
"D68","OTHERS_sup_49","DIAG-ICD10",6,"all","all","FRBDX"
"D69","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D69","ARDS_sup_49","DIAG-ICD10",29,"all","all","FRBDX"
"D69","NO_ARDS_18_49","DIAG-ICD10",11,"all","all","FRBDX"
"D69","NO_ARDS_sup_49","DIAG-ICD10",67,"all","all","FRBDX"
"D69","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D69","OTHERS_sup_49","DIAG-ICD10",15,"all","all","FRBDX"
"D70","ARDS_sup_49","DIAG-ICD10",6,"all","all","FRBDX"
"D70","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
